txn_date,amount,desc_clean,ref_clean,rate_used,amount_vnd,flag_FX
2025-02-21,350,incoming usd payment vuong van qq,USDTXN-HAFE,24500.0,8575000.0,False
2025-02-21,9000000,aof tuition fee tong bao y,TXN-R7KO6,—,9000000.0,False
2025-02-23,9000000,aof tuition fee ta van vv batch,TXN-T0CVS,—,9000000.0,False
2025-02-23,6500000,aof tuition fee tong bao y,TXN-AO72K,—,6500000.0,False
2025-02-25,800,incoming usd payment dinh hai n batch,USDTXN-EQBN,24510,19608000.0,False
2025-02-26,8000000,aof tuition fee truong my o,TXN-G8SBI,—,8000000.0,False
2025-02-26,5000000,aof tuition fee diep lan z,TXN-02DGT,—,5000000.0,False
2025-02-27,5000000,aof tuition fee ta van vv batch,TXN-JI0Y6,—,5000000.0,False
2025-02-27,200,incoming usd payment ta quynh v online,USDTXN-MPNS,24510,4902000.0,False
2025-02-27,10000000,aof tuition fee luu thi t online,TXN-SYLZT,—,10000000.0,False
2025-02-28,5000000,aof tuition fee luu thi t ref,TXN-N78BM,—,5000000.0,False
2025-02-28,10000000,aof tuition fee vuong ha q,TXN-FPZUE,—,10000000.0,False
2025-03-01,6500000,aof tuition fee tong bao y batch,TXN-YZCOT,—,6500000.0,False
2025-03-01,1500000,service fee training diep thi zz,SRV-UK9E1,—,1500000.0,False
2025-03-01,-150000,bank fee monthly,FEE-RJRN,—,-150000.0,False
2025-03-02,7000000,aof tuition fee vo hai w,TXN-HJ7XV,—,7000000.0,False
2025-03-04,8000000,aof tuition fee ta quynh v,TXN-KC1MS,—,8000000.0,False
2025-03-04,1500000,service fee training ta van vv,SRV-R09SK,—,1500000.0,False
2025-03-04,10000000,aof tuition fee luu thi t online,TXN-OYN6Q,—,10000000.0,False
2025-03-05,1800000,service fee training diep thi zz batch,SRV-JKV5U,—,1800000.0,False
2025-03-05,7000000,aof tuition fee do thi g online,TXN-DD4V3,—,7000000.0,False
2025-03-06,7000000,pending incoming dang thu j ref,PEND-63CFL,—,7000000.0,False
2025-03-06,4500000,pending incoming tong van yy online,PEND-2V2HE,—,4500000.0,False
2025-03-06,5000000,aof tuition fee hoang gia e,TXN-ZCCBL,—,5000000.0,False
2025-03-07,10000000,aof tuition fee quach anh r,TXN-1SWJC,—,10000000.0,False
2025-03-07,7000000,aof tuition fee ngo duc k online,TXN-2D54I,—,7000000.0,False
2025-03-07,8000000,aof tuition fee dinh thi nn ref,TXN-4COWG,—,8000000.0,False
2025-03-08,9000000,aof tuition fee nguyen van a batch,TXN-YE511,—,9000000.0,False
2025-03-08,7000000,pending incoming bui minh f batch,PEND-FGCAQ,—,7000000.0,False
2025-03-08,6500000,aof tuition fee vuong van qq,TXN-ZIOYK,—,6500000.0,False
2025-03-08,9000000,aof tuition fee vo thi ww,TXN-G65KX,—,9000000.0,False
2025-03-10,9000000,aof tuition fee dinh hai n ref,TXN-ZHWJR,—,9000000.0,False
2025-03-11,1200000,service fee training luu van tt,SRV-TJ9TZ,—,1200000.0,False
2025-03-12,1500000,service fee training bui minh f ref,SRV-KQ1UY,—,1500000.0,False
2025-03-12,6500000,aof tuition fee ly thi pp online,TXN-R5XFF,—,6500000.0,False
2025-03-15,2500000,service fee training luu van tt batch,SRV-FGSXW,—,2500000.0,False
2025-03-15,6500000,aof tuition fee phan quoc i,TXN-SDBDW,—,6500000.0,False
2025-03-15,350,incoming usd payment ngo duc k batch,USDTXN-V8Z2,24530,8585500.0,False
2025-03-16,800,incoming usd payment ly bao p online,USDTXN-7HV3,24530,19624000.0,False
2025-03-18,500,incoming usd payment vo hai w,USDTXN-4Q0B,24540,12270000.0,False
2025-03-19,5000000,aof tuition fee vu thi hh,TXN-7TZ0Y,—,5000000.0,False
2025-03-20,2500000,service fee training luu thi t,SRV-49KWV,—,2500000.0,False
2025-03-20,9000000,aof tuition fee do thi g ref,TXN-B9487,—,9000000.0,False
2025-03-22,1800000,service fee training nguyen thi bb,SRV-9TMQL,—,1800000.0,False
2025-03-22,10000000,aof tuition fee ngo duc k,TXN-XKXWD,—,10000000.0,False
2025-03-23,1500000,service fee training mai van ss batch,SRV-RZQAK,—,1500000.0,False
2025-03-23,5000000,aof tuition fee vo thi ww,TXN-TEX8F,—,5000000.0,False
2025-03-25,5000000,aof tuition fee cao van mm batch,TXN-LA753,—,5000000.0,False
